Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Craig Stephens,65,40000000.0,109138524.39,Medium-term,high,Under 0 year
Douglas Rivera,18,91000000.0,264389341.8,Short-term,low,Under 5 year
Cody Garrett,28,130000000.0,203307138.17,Medium-term,high,Under 3 year
Joshua Jones,22,112000000.0,237136466.09,Short-term,low,Under 4 year
Brenda Wood,51,41000000.0,100687191.78,Short-term,low,Under 5 year
Justin Parker,41,59000000.0,162715361.24,Short-term,low,Under 6 year
Teresa Mccormick,29,46000000.0,79156408.73,Short-term,medium,Under 9 year
Catherine Burke,54,27000000.0,68536537.28,Medium-term,medium,Under 5 year
Julia Steele,61,6000000.0,13548598.2,Short-term,high,Under 4 year
Kyle Phillips,21,129000000.0,248308202.56,Long-term,low,Under 9 year
Ronald Greene,47,35000000.0,99306662.04,Long-term,low,Under 3 year
Melissa Rosales,41,115000000.0,220591966.34,Long-term,low,Under 5 year
Michael Johnson,54,52000000.0,131880515.72,Short-term,low,Under 4 year
Kathleen Weiss,65,137000000.0,382953286.8,Short-term,low,Under 2 year
Angela Vaughn,43,24000000.0,71645520.85,Medium-term,low,Under 6 year
Joseph Patterson,41,134000000.0,393980784.29,Short-term,high,Under 5 year
Scott Wu,20,26000000.0,62937454.69,Medium-term,high,Under 5 year
Mark Diaz,44,111000000.0,229374555.13,Short-term,high,Under 1 year
Katelyn Rodriguez,26,96000000.0,236431268.61,Short-term,high,Under 4 year
Tyler Adkins,40,116000000.0,332993214.83,Long-term,high,Under 3 year
Paul Rodriguez,28,149000000.0,269086460.39,Long-term,high,Under 6 year
Teresa Mills,29,20000000.0,57021743.31,Long-term,low,Under 5 year
Hayden Buck,55,124000000.0,297383239.71,Short-term,medium,Under 3 year
Brian Chandler,47,99000000.0,247810505.31,Short-term,low,Under 0 year
Ashley Walter,54,50000000.0,108533966.15,Long-term,low,Under 4 year
Joseph Martinez,21,84000000.0,245218151.63,Medium-term,low,Under 5 year
Jennifer Christian,22,38000000.0,59312791.39,Short-term,medium,Under 1 year
Melissa Harris,35,62000000.0,128317700.84,Short-term,high,Under 6 year
Raven Buchanan,34,16000000.0,33821681.21,Short-term,low,Under 1 year
Debbie Flynn,34,54000000.0,94377929.17,Short-term,low,Under 4 year
Tommy Campbell,53,38000000.0,80095838.56,Short-term,medium,Under 8 year
Robert Johnston,46,114000000.0,308188721.61,Short-term,low,Under 8 year
Adam Ortiz,44,77000000.0,175149718.47,Short-term,high,Under 8 year
Leslie Reid,27,17000000.0,47407351.62,Short-term,low,Under 8 year
James Frederick,30,114000000.0,212252159.29,Medium-term,low,Under 1 year
Richard Johnson,64,114000000.0,326652712.28,Medium-term,medium,Under 7 year
Ashley Lambert,65,131000000.0,208397270.86,Long-term,high,Under 6 year
Diana Hill,47,101000000.0,205993282.17,Long-term,low,Under 8 year
Christopher Bird,49,67000000.0,194193468.18,Medium-term,medium,Under 2 year
Maria Morales,24,59000000.0,131651283.59,Medium-term,medium,Under 6 year
Amy Hall,50,2000000.0,4344403.53,Medium-term,high,Under 6 year
Karen Murray,22,103000000.0,223959030.53,Medium-term,high,Under 5 year
Michael Woods,39,123000000.0,332440195.03,Short-term,high,Under 5 year
Jonathan Abbott,56,115000000.0,195088888.7,Medium-term,low,Under 2 year
Tracy Sweeney,45,90000000.0,198452409.0,Long-term,medium,Under 2 year
Priscilla Mason,26,66000000.0,156930258.76,Short-term,medium,Under 5 year
Bonnie Kim,59,133000000.0,210799501.82,Short-term,low,Under 5 year
Amanda Perez,39,112000000.0,212747304.59,Long-term,medium,Under 2 year
Corey Thomas,29,88000000.0,136987887.83,Short-term,low,Under 7 year
Darryl Torres MD,50,114000000.0,272007437.96,Long-term,medium,Under 3 year
Anthony Walker,65,36000000.0,70380919.32,Short-term,high,Under 4 year
Daniel Hayes DVM,36,52000000.0,114950899.18,Long-term,medium,Under 3 year
Tyler Elliott,37,58000000.0,172206782.52,Short-term,medium,Under 8 year
Gerald Garcia,64,23000000.0,64446473.39,Short-term,low,Under 3 year
Timothy Stout,28,21000000.0,56423001.8,Short-term,high,Under 5 year
Jimmy Hicks,24,149000000.0,357958765.43,Short-term,low,Under 1 year
Michael Hicks,25,37000000.0,57271737.19,Long-term,medium,Under 7 year
Bradley Martin,24,90000000.0,197115790.17,Long-term,high,Under 7 year
Carla Lee,45,121000000.0,193403569.58,Short-term,low,Under 8 year
Courtney Santiago,18,61000000.0,98363040.82,Short-term,low,Under 5 year
Dr. Douglas Kaufman,53,126000000.0,262317254.92,Medium-term,medium,Under 1 year
James Garcia,23,9000000.0,20098964.06,Long-term,low,Under 8 year
Brandon Velez,57,36000000.0,75961140.05,Long-term,high,Under 1 year
Kyle Donovan,21,143000000.0,319056528.46,Short-term,high,Under 3 year
Jessica Fernandez,49,19000000.0,45428391.67,Medium-term,high,Under 8 year
Nicholas Fox,54,71000000.0,175816862.67,Medium-term,high,Under 0 year
Elizabeth Johnson,57,38000000.0,85679418.56,Long-term,medium,Under 9 year
Cynthia Mccarthy,25,120000000.0,182696278.6,Short-term,low,Under 7 year
Christine Thompson,58,68000000.0,198409018.74,Short-term,medium,Under 5 year
John Le,50,30000000.0,77672875.84,Medium-term,medium,Under 7 year
Christine Zimmerman,54,70000000.0,147808289.65,Medium-term,high,Under 7 year
Andrew Griffith,56,96000000.0,204420366.75,Short-term,low,Under 3 year
Maria Hampton,36,48000000.0,126702747.2,Long-term,high,Under 8 year
David Ramirez,59,68000000.0,142346099.3,Medium-term,low,Under 2 year
Brian Aguilar,20,58000000.0,118958869.71,Long-term,low,Under 8 year
Christopher Alvarado,58,37000000.0,77737535.14,Medium-term,medium,Under 0 year
Sydney Harris,50,63000000.0,169929007.73,Medium-term,medium,Under 0 year
Sean Payne,63,19000000.0,47263204.39,Short-term,medium,Under 5 year
Ryan Meadows,53,97000000.0,156704596.68,Medium-term,high,Under 4 year
Lori Reid,57,51000000.0,132814845.66,Long-term,high,Under 7 year
Brandon Wiley,26,53000000.0,96470198.45,Medium-term,high,Under 8 year
Caitlin Pitts DDS,60,88000000.0,222789865.43,Medium-term,medium,Under 8 year
William Grant,56,5000000.0,9124200.46,Short-term,medium,Under 6 year
Mark Fletcher,37,87000000.0,250438653.47,Long-term,low,Under 5 year
Angela Hodges,20,76000000.0,217361016.66,Short-term,low,Under 9 year
Christopher Jones MD,39,140000000.0,225939922.37,Short-term,medium,Under 7 year
Danielle Chavez,23,148000000.0,253228198.76,Medium-term,high,Under 0 year
Mr. Michael Garcia,42,25000000.0,67494181.36,Medium-term,medium,Under 6 year
James Villegas,33,4000000.0,8713088.96,Long-term,medium,Under 0 year
Samantha Cordova,64,39000000.0,71519854.49,Medium-term,high,Under 6 year
Andrew Wilson DDS,52,51000000.0,126662868.79,Medium-term,low,Under 2 year
Robin Stevens,50,54000000.0,135069339.34,Long-term,low,Under 5 year
Brett Ford,41,42000000.0,72445220.86,Long-term,high,Under 0 year
Peter Sanchez,42,57000000.0,130132053.86,Short-term,low,Under 4 year
David Johnson,24,114000000.0,285794356.15,Long-term,high,Under 8 year
Steven Cunningham,54,51000000.0,143030491.97,Medium-term,low,Under 0 year
Russell Hayden,56,112000000.0,175461460.99,Short-term,medium,Under 5 year
Linda Lee,33,64000000.0,165982949.49,Short-term,high,Under 1 year
Dana Curry,54,54000000.0,113107590.25,Medium-term,medium,Under 6 year
Holly Park MD,35,143000000.0,248661170.98,Long-term,high,Under 7 year
Alison Callahan,40,98000000.0,156890436.44,Long-term,low,Under 0 year
Donna Chavez,26,121000000.0,286968582.8,Long-term,low,Under 2 year
Maria Wheeler,52,59000000.0,145403930.93,Medium-term,low,Under 4 year
Sheryl Dean,31,13000000.0,33485651.75,Long-term,high,Under 9 year
Sharon Ramsey,65,74000000.0,207533520.24,Short-term,low,Under 7 year
Maurice Adams,34,139000000.0,318016893.85,Long-term,high,Under 3 year
Pamela Booth,57,109000000.0,222876075.66,Short-term,high,Under 2 year
Jacob Elliott,63,119000000.0,228573198.51,Short-term,high,Under 1 year
Matthew Stevenson,54,25000000.0,49314448.56,Short-term,high,Under 3 year
Dawn Wood,20,35000000.0,103264847.47,Short-term,low,Under 3 year
Dylan Ramirez,46,71000000.0,121681870.76,Short-term,high,Under 7 year
Gregory Vasquez,37,61000000.0,128417270.16,Medium-term,low,Under 7 year
Derek Robertson,61,127000000.0,380462032.31,Long-term,high,Under 6 year
Wesley Miller,49,123000000.0,357308054.3,Short-term,low,Under 4 year
Claudia Boyd,23,91000000.0,240811170.45,Medium-term,medium,Under 7 year
Jacob Gonzalez,50,51000000.0,78330188.82,Medium-term,low,Under 6 year
Laura Bautista,56,43000000.0,90461916.31,Short-term,medium,Under 9 year
Christina Kelly,44,93000000.0,221453825.88,Short-term,high,Under 6 year
John Manning,60,74000000.0,133753093.15,Long-term,high,Under 7 year
Sara Lee,22,57000000.0,92062779.65,Short-term,medium,Under 9 year
Maria Simmons,28,15000000.0,43063973.86,Long-term,medium,Under 8 year
Taylor Brown,34,14000000.0,23665477.63,Short-term,low,Under 2 year
Ashley Day,38,7000000.0,14045496.56,Short-term,high,Under 6 year
Christopher Dickson,23,29000000.0,50218079.6,Long-term,medium,Under 8 year
Gregory Young,29,82000000.0,139939593.46,Short-term,low,Under 1 year
Rebecca Gibson,40,91000000.0,169410399.09,Short-term,high,Under 3 year
Gina Martinez,62,2000000.0,4290256.93,Medium-term,medium,Under 4 year
Benjamin Hines,38,117000000.0,203787280.47,Medium-term,medium,Under 7 year
Tonya Valencia,64,88000000.0,229276181.14,Medium-term,low,Under 4 year
Chad Cooper,64,132000000.0,210548831.08,Long-term,low,Under 3 year
Jill Perry,45,23000000.0,63537354.85,Short-term,high,Under 6 year
Katherine Bowers,24,16000000.0,42444255.97,Medium-term,high,Under 4 year
Eileen Howe,41,68000000.0,173858438.55,Short-term,high,Under 1 year
Jason Brown,59,63000000.0,171713876.08,Medium-term,high,Under 5 year
Christine Lane,54,35000000.0,64610143.76,Short-term,low,Under 6 year
Amy Smith,32,120000000.0,218759774.72,Short-term,medium,Under 9 year
David Deleon,19,6000000.0,17154011.54,Medium-term,low,Under 8 year
Justin Herrera,35,66000000.0,178223655.07,Long-term,low,Under 4 year
Albert Rogers,26,106000000.0,228919576.33,Short-term,low,Under 7 year
David Graham,41,92000000.0,260663291.22,Short-term,high,Under 5 year
Timothy Palmer,55,6000000.0,13008505.43,Long-term,medium,Under 9 year
Kara Hall,50,33000000.0,88980267.18,Long-term,medium,Under 1 year
Daniel Cortez,38,7000000.0,17208129.53,Medium-term,low,Under 6 year
Billy Grant,59,95000000.0,155835922.28,Long-term,high,Under 8 year
Brenda King,18,143000000.0,305621948.57,Short-term,high,Under 9 year
Billy Jordan,43,134000000.0,271316294.26,Long-term,low,Under 4 year
Carlos Alexander,32,121000000.0,318771917.13,Long-term,low,Under 1 year
Brian Conway,26,108000000.0,182985006.92,Short-term,medium,Under 1 year
Justin Hansen,64,82000000.0,224640363.27,Medium-term,high,Under 5 year
Judith Salinas,44,72000000.0,161651912.42,Short-term,high,Under 1 year
Jason Thomas,43,17000000.0,30257742.58,Medium-term,medium,Under 9 year
Angel Brown,52,75000000.0,119257307.56,Long-term,medium,Under 9 year
Richard Clark,42,49000000.0,129007345.86,Long-term,medium,Under 1 year
Kimberly Simpson,26,69000000.0,125228053.71,Medium-term,medium,Under 4 year
Jeremy Haas,55,132000000.0,256251237.96,Short-term,low,Under 1 year
Jerry Chen,52,116000000.0,307311929.15,Long-term,high,Under 1 year
Rachel Robinson,44,45000000.0,111173892.9,Short-term,medium,Under 2 year
Alexander Wilson,49,10000000.0,22359202.27,Medium-term,low,Under 7 year
Amanda Gray,42,29000000.0,44325176.84,Short-term,low,Under 1 year
Juan Myers,24,143000000.0,351244998.81,Long-term,medium,Under 1 year
Crystal Hanson,30,15000000.0,22752248.68,Medium-term,medium,Under 2 year
Kevin Simmons,40,143000000.0,304644946.43,Medium-term,low,Under 8 year
Andrew Espinoza,37,18000000.0,28499487.24,Long-term,high,Under 7 year
Juan Marshall,55,135000000.0,336380455.31,Long-term,medium,Under 2 year
Rebecca Bailey,21,68000000.0,106188614.36,Short-term,medium,Under 6 year
Beverly Martinez,58,97000000.0,226610113.58,Short-term,medium,Under 2 year
Kayla Wallace,33,3000000.0,8788143.31,Short-term,high,Under 7 year
Laura Johnson,40,116000000.0,239098641.44,Short-term,high,Under 4 year
Shawn Barajas,50,88000000.0,176206324.68,Medium-term,medium,Under 5 year
Carlos Herrera,20,126000000.0,236508274.28,Long-term,high,Under 7 year
Gina Ramirez,65,17000000.0,43294603.82,Long-term,high,Under 7 year
Lawrence Obrien,62,99000000.0,229485504.26,Medium-term,high,Under 8 year
Devin Frost,51,25000000.0,53733693.94,Long-term,low,Under 6 year
Michael Hahn,32,44000000.0,114762878.13,Short-term,low,Under 8 year
Zachary Miller,57,9000000.0,19359365.22,Long-term,medium,Under 0 year
Kimberly Brooks,35,80000000.0,228674002.82,Medium-term,medium,Under 1 year
William Crawford,22,24000000.0,61656795.6,Long-term,medium,Under 3 year
Nicholas Gaines,44,79000000.0,200596835.63,Short-term,high,Under 5 year
Tracy Pace,37,114000000.0,231691819.59,Medium-term,medium,Under 8 year
Brianna Wells,27,76000000.0,193489912.06,Medium-term,low,Under 1 year
Joyce Choi,46,120000000.0,318054866.84,Medium-term,low,Under 8 year
Amber Cobb,50,36000000.0,73352856.65,Long-term,low,Under 5 year
April Salinas,59,130000000.0,279619656.11,Short-term,medium,Under 1 year
William Hall,43,122000000.0,184329742.98,Short-term,high,Under 4 year
Lauren Monroe,42,120000000.0,229897524.95,Short-term,low,Under 3 year
Heather Hoover,58,21000000.0,47132792.43,Medium-term,medium,Under 4 year
Janice Medina,36,89000000.0,234355792.82,Long-term,high,Under 7 year
Christina Glass,41,73000000.0,207447143.22,Short-term,low,Under 7 year
Madison Scott,24,64000000.0,167531003.05,Short-term,low,Under 8 year
Jeff Barnett,53,61000000.0,169063849.74,Short-term,medium,Under 2 year
Adriana Robinson,19,36000000.0,60246440.62,Short-term,low,Under 7 year
Ryan Stephens,42,114000000.0,314033029.64,Long-term,high,Under 2 year
Amy Olsen,29,6000000.0,17328194.45,Medium-term,medium,Under 4 year
Jennifer Hartman,32,136000000.0,302294945.61,Medium-term,medium,Under 5 year
Erin Baker,57,61000000.0,115842606.85,Medium-term,low,Under 6 year
Kenneth Ewing,31,106000000.0,279449630.74,Short-term,medium,Under 9 year
Christine Brown,19,68000000.0,159653793.48,Medium-term,low,Under 2 year
Deborah Smith,39,45000000.0,105727403.87,Short-term,high,Under 6 year
Justin Jones,37,25000000.0,55673187.26,Long-term,high,Under 4 year
Kristie Bell,22,87000000.0,143883174.55,Short-term,high,Under 6 year
Brandon Davidson DVM,55,59000000.0,154628516.49,Long-term,high,Under 1 year
Julie Velasquez,40,18000000.0,53747451.0,Short-term,low,Under 2 year
Madison Moss,56,37000000.0,59178059.31,Long-term,high,Under 2 year
Deborah Martinez,58,38000000.0,106674532.44,Short-term,medium,Under 2 year
Michael Contreras,60,26000000.0,64808924.61,Short-term,medium,Under 2 year
William Lin,25,119000000.0,348339724.46,Short-term,low,Under 4 year
Veronica Murphy,46,136000000.0,224306237.06,Long-term,medium,Under 6 year
Jessica Patton,55,81000000.0,164108023.65,Short-term,high,Under 5 year
Melissa Humphrey,52,13000000.0,22505269.86,Medium-term,high,Under 3 year
Taylor Banks DVM,55,33000000.0,70339045.75,Short-term,low,Under 5 year
Theresa Brandt,24,146000000.0,278086463.74,Long-term,low,Under 9 year
Anthony Smith,64,12000000.0,30806945.88,Long-term,low,Under 7 year
Mr. Patrick Graham MD,33,54000000.0,91016452.21,Short-term,high,Under 7 year
Kimberly Murphy,21,106000000.0,279239612.81,Short-term,low,Under 6 year
Dr. David Fleming,53,142000000.0,295881904.55,Long-term,low,Under 3 year
Carla Casey,29,58000000.0,115443343.64,Medium-term,high,Under 2 year
Kenneth Smith,44,139000000.0,305350468.39,Short-term,high,Under 3 year
Joshua Maxwell,26,97000000.0,175444422.84,Long-term,low,Under 2 year
Debra Garner,32,113000000.0,194793617.0,Short-term,high,Under 4 year
Kyle Gonzalez,36,10000000.0,24706564.81,Medium-term,high,Under 6 year
Lisa Mccarthy,39,64000000.0,136549073.67,Medium-term,medium,Under 1 year
Jeffrey Benton,56,124000000.0,332147045.59,Short-term,medium,Under 5 year
Alexis Ortiz,60,86000000.0,201517422.87,Short-term,high,Under 0 year
Rachael Andrews,23,131000000.0,303393764.35,Medium-term,low,Under 9 year
Joshua Boyer,26,22000000.0,35869606.56,Short-term,medium,Under 0 year
Erica Collins,44,68000000.0,129417150.78,Short-term,high,Under 9 year
Glenn Brown,50,28000000.0,60511919.49,Medium-term,low,Under 5 year
Shari Jordan,31,140000000.0,318343570.65,Long-term,medium,Under 8 year
Kelly Wells,46,89000000.0,219444509.96,Medium-term,low,Under 3 year
Kevin Ortega,55,6000000.0,13832506.52,Short-term,medium,Under 9 year
Jessica Bennett,41,17000000.0,30488068.58,Medium-term,low,Under 1 year
Erica Lopez,52,97000000.0,158926605.99,Long-term,high,Under 7 year
Jeremy Green,43,95000000.0,179047034.7,Long-term,medium,Under 2 year
Heather Ford,23,87000000.0,188529613.17,Short-term,medium,Under 2 year
Dr. Eric Freeman Jr.,27,61000000.0,105419551.73,Medium-term,medium,Under 0 year
Lisa Schultz,61,115000000.0,234086643.21,Short-term,medium,Under 6 year
Blake Hardy,34,134000000.0,358481712.12,Long-term,high,Under 8 year
Glen Stone,36,28000000.0,55738655.23,Long-term,high,Under 7 year
Eric White,51,47000000.0,110216608.68,Long-term,low,Under 0 year
Julie Wise,28,12000000.0,20910701.1,Long-term,medium,Under 8 year
Thomas Thompson,46,33000000.0,60431066.61,Medium-term,high,Under 2 year
Jamie Gonzalez,41,22000000.0,48632815.86,Long-term,high,Under 9 year
Tracy Rodriguez,35,109000000.0,216026532.69,Short-term,medium,Under 2 year
Julia Schmitt,44,116000000.0,200062457.84,Long-term,medium,Under 6 year
Megan Odom,56,45000000.0,90667193.84,Medium-term,high,Under 2 year
Colleen Lopez,33,62000000.0,129315364.17,Short-term,medium,Under 9 year
Michael Olsen,31,63000000.0,112144890.11,Long-term,medium,Under 4 year
Melissa Frazier,63,29000000.0,68651969.43,Short-term,high,Under 9 year
Allison Rodriguez,33,53000000.0,144443811.69,Medium-term,medium,Under 9 year
Katrina Mullins,35,68000000.0,123957092.62,Long-term,low,Under 4 year
Colin Howell,31,55000000.0,123815146.46,Medium-term,high,Under 7 year
Nancy Ford,49,119000000.0,313178757.36,Long-term,medium,Under 3 year
John Barker,55,103000000.0,232662092.32,Short-term,low,Under 1 year
Pamela Ruiz,58,17000000.0,35762529.05,Medium-term,high,Under 3 year
Denise Green,36,96000000.0,153066683.12,Long-term,low,Under 1 year
Heather Villegas,29,20000000.0,45368481.78,Medium-term,medium,Under 9 year
Lisa Mccarthy,51,82000000.0,135926747.1,Medium-term,low,Under 1 year
Donald Suarez,53,16000000.0,35209075.59,Medium-term,low,Under 8 year
Caitlyn Boyd,33,110000000.0,292334580.65,Long-term,low,Under 2 year
Andrea Roberts,55,42000000.0,79497484.15,Short-term,high,Under 0 year
Martha Wells,60,31000000.0,85412806.31,Medium-term,low,Under 8 year
Edwin Ramirez,34,150000000.0,229969409.72,Long-term,high,Under 5 year
Nicholas Williams,62,53000000.0,79930182.76,Long-term,high,Under 2 year
Sarah Lynch,56,89000000.0,235764784.29,Medium-term,low,Under 1 year
Natalie Lopez,46,132000000.0,313586151.58,Medium-term,high,Under 2 year
Jeffrey Long,45,77000000.0,201401760.49,Long-term,low,Under 5 year
Kristen Barron,64,16000000.0,37574825.28,Long-term,low,Under 9 year
Katie Reynolds,50,11000000.0,22503503.26,Short-term,high,Under 4 year
Steven Ferguson,48,73000000.0,196678382.87,Medium-term,high,Under 2 year
Valerie Rogers,44,9000000.0,20423397.35,Short-term,high,Under 1 year
Meghan Brown,37,86000000.0,191920009.08,Medium-term,high,Under 4 year
Robert Cook DVM,45,95000000.0,200432684.8,Medium-term,high,Under 9 year
Jacob Reynolds,47,132000000.0,256336533.34,Medium-term,medium,Under 0 year
Amanda Compton,56,42000000.0,111929631.66,Medium-term,medium,Under 2 year
Sharon Bates,38,30000000.0,46806167.41,Long-term,low,Under 2 year
Cody Morton,41,107000000.0,169665888.5,Short-term,high,Under 7 year
Kimberly Espinoza,43,32000000.0,61173202.8,Short-term,high,Under 8 year
Thomas Mason,36,21000000.0,42045059.96,Medium-term,low,Under 4 year
Raymond Gaines,18,71000000.0,177589205.95,Long-term,low,Under 4 year
Theresa Acosta,40,66000000.0,171319862.64,Long-term,high,Under 5 year
James Young,61,58000000.0,123536743.29,Short-term,high,Under 0 year
Erin Conley,43,22000000.0,59271003.37,Medium-term,medium,Under 4 year
Yolanda Giles,65,106000000.0,206852221.82,Short-term,high,Under 2 year
Scott Smith,63,91000000.0,234982973.01,Medium-term,medium,Under 3 year
Christopher James,25,51000000.0,120963763.3,Short-term,low,Under 8 year
Ralph Jones,65,150000000.0,399654125.08,Long-term,low,Under 2 year
Blake Hansen,32,101000000.0,291778752.58,Medium-term,high,Under 6 year
Brendan Mercado,50,31000000.0,54351751.91,Medium-term,low,Under 1 year
Carla Miller,35,145000000.0,266680581.71,Medium-term,medium,Under 7 year
Sarah Dorsey,18,129000000.0,373266861.98,Long-term,low,Under 7 year
Latoya Meyers,32,47000000.0,120269948.65,Medium-term,medium,Under 4 year
Alexis King,53,144000000.0,376986886.89,Long-term,medium,Under 2 year
Ronald Chandler,39,135000000.0,397664057.29,Long-term,high,Under 9 year
Marilyn Murphy,57,10000000.0,26070574.43,Medium-term,high,Under 6 year
Pamela Hill,48,67000000.0,148573754.89,Medium-term,high,Under 6 year
Debbie Davis,64,84000000.0,188785586.8,Medium-term,high,Under 7 year
Nicholas Johnson,27,85000000.0,170210594.36,Medium-term,low,Under 5 year
Denise Pierce,25,119000000.0,301612970.1,Medium-term,high,Under 2 year
Jacob Lucas,33,72000000.0,174106273.36,Medium-term,medium,Under 0 year
Ashley Scott,31,67000000.0,188687685.43,Long-term,medium,Under 8 year
Heather Johnson,19,114000000.0,281453924.22,Short-term,low,Under 6 year
Deborah Galloway,51,52000000.0,82529903.88,Long-term,high,Under 2 year
Elizabeth Robles,49,108000000.0,227649671.59,Medium-term,medium,Under 2 year
Mark Rogers,24,56000000.0,131680790.69,Medium-term,low,Under 3 year
Yolanda Rivera,29,73000000.0,207148610.71,Medium-term,high,Under 4 year
Andrea Sherman,55,34000000.0,100623787.81,Long-term,high,Under 0 year
Brenda Smith,42,141000000.0,283670224.89,Short-term,high,Under 6 year
Cassie Lowery,49,74000000.0,178612923.03,Medium-term,medium,Under 2 year
Stephen Baker,23,29000000.0,80004839.34,Medium-term,medium,Under 6 year
Natalie Fox,21,14000000.0,26581914.73,Short-term,medium,Under 0 year
Regina Hernandez,54,13000000.0,29372537.76,Medium-term,medium,Under 9 year
Cathy Johnson,52,35000000.0,99262558.36,Short-term,high,Under 3 year
Jorge Arnold,60,95000000.0,241361841.11,Short-term,low,Under 4 year
Jacob Mcdonald,40,137000000.0,301879031.1,Medium-term,low,Under 5 year
Andrew Thornton,33,34000000.0,88579763.56,Short-term,high,Under 7 year
Richard Silva,48,4000000.0,6956269.57,Medium-term,low,Under 4 year
Joshua Phillips,57,126000000.0,249634919.34,Long-term,medium,Under 9 year
Jennifer Bradley,44,101000000.0,288659378.25,Long-term,low,Under 6 year
Derrick Schroeder,31,25000000.0,53795163.89,Short-term,medium,Under 1 year
Darrell Johnson,25,25000000.0,39918266.61,Short-term,high,Under 1 year
Tammy James,59,8000000.0,22341262.11,Medium-term,low,Under 4 year
Sean Burns,48,119000000.0,321917245.07,Short-term,high,Under 0 year
William Cabrera,59,120000000.0,224571172.22,Short-term,medium,Under 7 year
Jason Dodson,52,45000000.0,102580312.26,Short-term,high,Under 6 year
Brian Reynolds,46,47000000.0,98702603.6,Short-term,high,Under 0 year
Keith Parker,28,31000000.0,50904975.78,Short-term,medium,Under 2 year
Warren Pierce,56,14000000.0,23174013.36,Medium-term,high,Under 2 year
Jordan Oconnor,37,147000000.0,220857555.96,Long-term,medium,Under 5 year
Kurt Hill,40,127000000.0,280388844.39,Medium-term,high,Under 4 year
Brittany Campbell,39,13000000.0,19961783.25,Short-term,medium,Under 9 year
Katrina Dawson,38,10000000.0,21298038.05,Short-term,high,Under 3 year
Ricardo Baker,29,36000000.0,103936778.02,Medium-term,high,Under 8 year
Nicholas Anderson,38,97000000.0,196745862.21,Short-term,low,Under 5 year
Molly Rowe,65,41000000.0,121134538.5,Short-term,low,Under 2 year
Alan Bryant,60,145000000.0,306465077.96,Short-term,medium,Under 8 year
Jeffrey Saunders,23,101000000.0,295820307.91,Short-term,low,Under 5 year
John Collins,23,30000000.0,61419948.75,Long-term,high,Under 1 year
Jose Meyer,25,119000000.0,263352157.13,Medium-term,medium,Under 8 year
