Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Shelly Johnson,32,7000000.0,15168157.58,Short-term,low,Under 8 year
Olivia Collins,50,116000000.0,251807560.68,Long-term,high,Under 8 year
Angela Wolfe,18,82000000.0,155044978.59,Long-term,low,Under 9 year
Evelyn Jenkins,39,100000000.0,153094082.51,Medium-term,high,Under 3 year
Penny Johnson,45,31000000.0,60912594.22,Medium-term,medium,Under 5 year
Melissa Hernandez,63,100000000.0,183707558.33,Short-term,high,Under 7 year
David Thompson,45,105000000.0,217983784.39,Long-term,high,Under 2 year
April Stone,19,100000000.0,267760652.13,Short-term,high,Under 2 year
Sean Case,20,60000000.0,171396409.62,Long-term,high,Under 1 year
Heather Morgan,65,53000000.0,106253313.69,Long-term,low,Under 6 year
Joshua Cooley,45,13000000.0,26009230.92,Medium-term,medium,Under 5 year
Elizabeth Armstrong,50,124000000.0,247140545.76,Long-term,medium,Under 7 year
Jennifer Hernandez,39,32000000.0,57095077.7,Medium-term,medium,Under 9 year
Carol Scott,64,112000000.0,179150287.83,Medium-term,high,Under 1 year
Brad Rivas,43,111000000.0,244571738.48,Long-term,low,Under 8 year
Megan Stephens,24,94000000.0,249829185.96,Short-term,low,Under 9 year
James Armstrong,21,33000000.0,59186083.51,Short-term,medium,Under 0 year
Melissa Mullen,22,49000000.0,121129198.18,Short-term,high,Under 0 year
Emily Parrish,36,40000000.0,95747222.98,Long-term,low,Under 2 year
Mark Benson,34,135000000.0,256404238.43,Short-term,high,Under 9 year
Lisa Mata,51,96000000.0,265700940.44,Medium-term,low,Under 8 year
Christina Williamson,33,31000000.0,57100003.3,Short-term,low,Under 9 year
Stephanie Mays,60,104000000.0,297868149.77,Short-term,high,Under 9 year
Christopher Jackson,39,92000000.0,146550971.64,Long-term,low,Under 8 year
Mary Wallace,40,29000000.0,68777385.69,Long-term,medium,Under 7 year
Pamela Jordan,48,140000000.0,415474054.47,Short-term,medium,Under 6 year
Luis Villarreal,35,128000000.0,223964715.0,Medium-term,high,Under 5 year
Jeffrey Lewis,45,44000000.0,83215006.52,Long-term,low,Under 5 year
Heather White,42,96000000.0,232073557.8,Long-term,high,Under 3 year
Tiffany Gibson,64,35000000.0,89661657.58,Long-term,high,Under 4 year
Bryce Sullivan,35,29000000.0,64819884.05,Medium-term,low,Under 4 year
Edward Dennis,21,145000000.0,282014258.36,Long-term,high,Under 0 year
Lori Page,26,4000000.0,9218507.08,Medium-term,low,Under 0 year
Renee Martinez,31,39000000.0,114151712.82,Long-term,high,Under 5 year
Patrick Pollard,60,79000000.0,133669088.45,Short-term,medium,Under 3 year
Micheal Vazquez,38,84000000.0,154437801.44,Short-term,high,Under 5 year
Tyler Taylor,56,51000000.0,97907327.94,Long-term,medium,Under 3 year
Judy Morgan,21,74000000.0,177363400.66,Short-term,high,Under 8 year
Shelia Nielsen,18,5000000.0,10403543.28,Medium-term,medium,Under 9 year
Megan Bruce,52,9000000.0,22557765.7,Short-term,high,Under 4 year
Jose Wiley,42,123000000.0,331581859.84,Medium-term,high,Under 4 year
Timothy Schwartz,50,100000000.0,257588044.14,Short-term,low,Under 6 year
Anthony Contreras,24,140000000.0,365925687.73,Short-term,low,Under 9 year
Sandra Simmons,41,100000000.0,252640044.61,Medium-term,medium,Under 1 year
Amy Garcia,40,43000000.0,123503474.15,Long-term,high,Under 7 year
Bobby Young,38,120000000.0,266326248.39,Long-term,low,Under 4 year
Joseph Harris,23,92000000.0,189172952.73,Long-term,low,Under 8 year
Hannah Sosa,37,123000000.0,313081116.06,Short-term,high,Under 8 year
Donna Simon,44,39000000.0,111948257.57,Short-term,low,Under 1 year
Andrew Turner,35,99000000.0,237921126.85,Medium-term,medium,Under 1 year
Yvonne Galloway,36,90000000.0,154298116.03,Short-term,low,Under 5 year
Rebecca Morris,48,124000000.0,350897703.14,Short-term,low,Under 4 year
Sierra Fernandez,61,116000000.0,291650536.57,Short-term,medium,Under 3 year
Tina Davis,46,61000000.0,135391546.63,Short-term,high,Under 4 year
Lisa Brown,56,91000000.0,266102459.67,Long-term,high,Under 1 year
Morgan Young,53,12000000.0,33027985.85,Long-term,medium,Under 6 year
Katherine Romero,22,82000000.0,127028872.78,Short-term,medium,Under 9 year
Travis Harper,42,56000000.0,100282086.66,Short-term,low,Under 9 year
Brent White,60,132000000.0,225242184.24,Medium-term,low,Under 7 year
Arthur Nelson,62,114000000.0,337662964.01,Short-term,high,Under 2 year
Miguel Rodriguez,30,129000000.0,195868575.86,Medium-term,low,Under 8 year
Robert Ballard,20,99000000.0,155983429.61,Short-term,high,Under 9 year
Dr. Laura Brown,36,120000000.0,285839275.32,Long-term,low,Under 7 year
Stephanie Phillips DDS,26,85000000.0,202890119.69,Medium-term,high,Under 6 year
Jon Rivera,23,22000000.0,63903528.64,Medium-term,medium,Under 5 year
Brandon Martin,62,107000000.0,221717938.77,Medium-term,medium,Under 7 year
Michelle Silva,43,71000000.0,175933534.86,Medium-term,low,Under 8 year
Melissa Schmidt,37,50000000.0,114481558.74,Long-term,high,Under 1 year
Justin Thompson,56,105000000.0,258698502.0,Short-term,medium,Under 5 year
Isabella Martinez,25,37000000.0,97263775.43,Long-term,low,Under 6 year
Krystal Ross,50,142000000.0,298594941.69,Medium-term,low,Under 0 year
Karen Jackson,52,109000000.0,207054630.36,Short-term,high,Under 7 year
Amber Estrada,35,71000000.0,167856417.0,Medium-term,medium,Under 8 year
Amanda Jones,53,48000000.0,113410667.9,Medium-term,medium,Under 1 year
Robert Christensen,32,7000000.0,13097128.55,Medium-term,medium,Under 0 year
Isaiah Johnson,49,49000000.0,105920524.15,Short-term,medium,Under 4 year
Corey Morse,58,56000000.0,116773739.97,Short-term,medium,Under 5 year
Justin Gordon,53,26000000.0,62991802.73,Short-term,low,Under 5 year
Rhonda Mercado,59,6000000.0,14060645.49,Long-term,medium,Under 5 year
Melissa Martinez,20,26000000.0,69998018.5,Short-term,low,Under 9 year
Adam Phillips,63,62000000.0,103646988.01,Short-term,low,Under 3 year
Joseph Orozco,23,31000000.0,70666347.44,Long-term,low,Under 7 year
Diamond Rodriguez,55,6000000.0,13679760.32,Long-term,high,Under 9 year
Laura Duran,24,84000000.0,183149650.75,Short-term,high,Under 8 year
Christina Ferguson,20,64000000.0,188908018.41,Short-term,low,Under 7 year
Kristen Butler,21,103000000.0,273660948.73,Medium-term,high,Under 2 year
Karen Wolf,41,73000000.0,129512414.7,Long-term,medium,Under 9 year
Lori Kim,23,89000000.0,185090019.71,Medium-term,low,Under 2 year
Jennifer Willis,61,93000000.0,142588218.03,Medium-term,high,Under 1 year
Sophia Case MD,56,103000000.0,301613380.57,Short-term,low,Under 8 year
Angel Steele,59,120000000.0,188503826.77,Medium-term,medium,Under 2 year
Joe Evans MD,31,95000000.0,228133168.24,Short-term,low,Under 1 year
Melissa Porter,21,52000000.0,125824339.38,Short-term,high,Under 0 year
Cole Wilson,40,79000000.0,155663719.72,Medium-term,low,Under 2 year
Kaitlyn Russell,27,142000000.0,300346431.69,Medium-term,low,Under 0 year
Michael Barnes,59,38000000.0,72566573.82,Short-term,medium,Under 3 year
John Taylor,33,133000000.0,350280605.68,Short-term,medium,Under 4 year
Eric Santos,54,122000000.0,242363095.36,Medium-term,low,Under 5 year
Shawna Jones,52,49000000.0,110441266.22,Medium-term,medium,Under 9 year
Julia Perez,29,94000000.0,193796908.95,Short-term,high,Under 3 year
Patricia Nelson,40,11000000.0,25282293.79,Long-term,high,Under 3 year
Donald Stanley,29,84000000.0,130357284.15,Medium-term,high,Under 3 year
Brent Thomas,33,111000000.0,227748599.81,Long-term,low,Under 1 year
Sheila Sullivan,34,89000000.0,159756962.88,Medium-term,low,Under 7 year
Robert Hill,54,27000000.0,76908814.26,Long-term,high,Under 1 year
Laura Johnson,50,119000000.0,310980686.31,Medium-term,high,Under 3 year
Joel French,51,142000000.0,396237246.93,Short-term,medium,Under 1 year
Emily Nichols,46,29000000.0,43557121.88,Short-term,medium,Under 0 year
David Bean,25,78000000.0,205176147.34,Medium-term,high,Under 6 year
Sheri Ramirez,31,96000000.0,258881717.16,Long-term,high,Under 5 year
Luis Stone,52,145000000.0,293953453.68,Long-term,high,Under 0 year
Vincent Wilkinson,60,83000000.0,201558457.28,Long-term,high,Under 2 year
John Cox,29,68000000.0,196340131.54,Short-term,high,Under 6 year
Christopher Sellers,44,57000000.0,121202067.4,Medium-term,high,Under 6 year
David Young,38,7000000.0,14594730.02,Medium-term,medium,Under 4 year
Richard Murphy,57,9000000.0,26278388.47,Long-term,high,Under 2 year
Kathleen Allen,61,140000000.0,367344079.04,Short-term,medium,Under 4 year
Timothy Bell,45,87000000.0,135320745.97,Medium-term,medium,Under 8 year
Susan Lester,52,29000000.0,55896017.63,Medium-term,medium,Under 8 year
Mark Maldonado,43,9000000.0,17590173.17,Short-term,medium,Under 6 year
Samantha Thompson,50,45000000.0,131290875.18,Long-term,medium,Under 4 year
John Chase,38,90000000.0,194841907.32,Short-term,medium,Under 8 year
James Deleon,62,93000000.0,173139888.58,Short-term,medium,Under 5 year
Kimberly Garner,41,20000000.0,59092970.93,Long-term,low,Under 7 year
James Barry,45,97000000.0,250151867.85,Long-term,low,Under 2 year
Danielle Morgan,36,131000000.0,382197328.5,Long-term,medium,Under 7 year
Derek Fischer,54,50000000.0,103128016.58,Long-term,medium,Under 3 year
Dominique Silva,19,28000000.0,75134397.69,Short-term,medium,Under 4 year
Dr. Richard Barton Jr.,52,117000000.0,215788629.75,Short-term,low,Under 5 year
Aaron Walker,60,101000000.0,191629208.5,Short-term,low,Under 7 year
Amber Perkins,53,136000000.0,208063742.7,Short-term,low,Under 8 year
Jake Johnson,40,72000000.0,141390017.27,Medium-term,high,Under 4 year
Kevin Ramos,24,46000000.0,75278981.77,Medium-term,medium,Under 5 year
Denise Thompson,47,39000000.0,100139755.74,Long-term,high,Under 5 year
Elizabeth Rasmussen,47,25000000.0,49407793.39,Long-term,low,Under 9 year
Patrick Smith,32,150000000.0,269646292.37,Short-term,high,Under 6 year
Sara Garcia,30,70000000.0,197500224.03,Short-term,high,Under 5 year
Eric Hernandez,49,54000000.0,150383315.82,Medium-term,low,Under 5 year
Danielle Contreras,36,69000000.0,187445385.1,Short-term,low,Under 5 year
Bryan Sullivan,65,55000000.0,121583017.26,Long-term,low,Under 9 year
Amy Smith,43,123000000.0,344017910.35,Medium-term,medium,Under 3 year
Gregory Roberts,64,28000000.0,42698687.81,Short-term,high,Under 3 year
Kristen Bailey,63,6000000.0,11346627.25,Medium-term,high,Under 7 year
Kimberly Weeks,29,114000000.0,301279733.41,Medium-term,medium,Under 1 year
Karen Clark,50,68000000.0,110637242.24,Medium-term,low,Under 7 year
Devin Morales,23,61000000.0,124733367.26,Long-term,medium,Under 6 year
Diane Hughes,35,117000000.0,282310450.34,Long-term,high,Under 7 year
Carl Carlson,60,103000000.0,219737847.07,Long-term,high,Under 7 year
David Peters,36,30000000.0,78732576.72,Short-term,high,Under 5 year
Jordan Carlson,40,51000000.0,100707256.5,Short-term,medium,Under 1 year
Steven Garcia,19,54000000.0,117034277.52,Long-term,low,Under 5 year
Jessica Harvey,49,43000000.0,86042499.63,Short-term,low,Under 5 year
Ian Roman,65,39000000.0,65791931.13,Medium-term,low,Under 1 year
Jessica Williams,41,65000000.0,120706948.78,Long-term,high,Under 4 year
Nicholas Bishop,35,22000000.0,45724421.93,Medium-term,high,Under 9 year
Robert Thomas,37,120000000.0,225620489.22,Long-term,high,Under 4 year
Jordan Booth,59,136000000.0,369078480.64,Short-term,high,Under 6 year
Derek Miller,62,22000000.0,60309853.23,Short-term,high,Under 4 year
Cameron Ramos,34,71000000.0,204980971.96,Medium-term,medium,Under 6 year
Lisa Jacobson,43,41000000.0,64215641.55,Medium-term,high,Under 2 year
Madison Smith,56,41000000.0,122780736.34,Medium-term,high,Under 9 year
Steven Monroe,65,77000000.0,228201388.37,Short-term,medium,Under 2 year
Latoya Carey,27,127000000.0,379530766.52,Long-term,low,Under 3 year
Jamie Hall,35,98000000.0,213950938.21,Short-term,medium,Under 8 year
Eric Webb,48,44000000.0,126491288.41,Short-term,low,Under 9 year
Anthony Jones,64,61000000.0,100797530.95,Medium-term,high,Under 0 year
Thomas Huff MD,31,124000000.0,211694506.76,Long-term,high,Under 8 year
Maria Powers,23,37000000.0,80894017.22,Long-term,low,Under 8 year
Nancy Morgan,51,135000000.0,353022348.46,Medium-term,low,Under 1 year
Jennifer Finley,59,85000000.0,252128745.31,Short-term,high,Under 2 year
Michael Porter,60,52000000.0,126826869.2,Short-term,high,Under 2 year
Elizabeth Holmes,38,33000000.0,56421444.36,Short-term,high,Under 2 year
Jon Hubbard,38,114000000.0,204105342.91,Short-term,low,Under 9 year
Elizabeth Perkins,42,83000000.0,244380266.1,Short-term,low,Under 2 year
Wendy Singleton,25,147000000.0,229951352.7,Long-term,low,Under 8 year
Daniel Sampson,34,74000000.0,125470236.6,Short-term,medium,Under 1 year
Jonathan Knight,20,64000000.0,113927984.27,Medium-term,medium,Under 0 year
Rebecca Mitchell,37,5000000.0,8903063.81,Long-term,medium,Under 2 year
Taylor Vasquez,34,104000000.0,213725532.24,Long-term,medium,Under 4 year
Andrea White DVM,20,129000000.0,308882933.67,Long-term,high,Under 4 year
Anthony Rush,35,90000000.0,224292338.7,Medium-term,high,Under 7 year
Amy Cannon,26,61000000.0,148223363.05,Medium-term,low,Under 7 year
Phillip Bauer,61,84000000.0,149100405.29,Long-term,low,Under 6 year
Brent Martin,30,5000000.0,9559788.04,Short-term,high,Under 6 year
Donald Greer,32,69000000.0,193837861.22,Medium-term,high,Under 7 year
Peter Young,56,145000000.0,271256487.7,Medium-term,medium,Under 8 year
Craig Hill,29,56000000.0,133839234.95,Long-term,low,Under 1 year
Abigail Daniel,46,50000000.0,145997627.67,Long-term,high,Under 4 year
Kimberly Smith,20,6000000.0,10438862.73,Long-term,low,Under 4 year
Victor Gonzales,49,135000000.0,295099151.21,Short-term,medium,Under 2 year
Courtney Reed,40,84000000.0,135700871.19,Long-term,medium,Under 5 year
William Cabrera,60,37000000.0,68678688.21,Short-term,low,Under 7 year
Jose Castillo,55,96000000.0,239503975.01,Medium-term,high,Under 3 year
Steven Hammond,57,55000000.0,145791387.13,Short-term,medium,Under 8 year
Michael Avila,62,3000000.0,5811419.72,Short-term,high,Under 2 year
Christy Cochran DDS,42,150000000.0,311115865.28,Long-term,medium,Under 9 year
Heather Hull,51,89000000.0,161915735.76,Medium-term,medium,Under 5 year
Julie Montgomery,41,103000000.0,211469009.04,Medium-term,high,Under 2 year
Angel Jackson,61,39000000.0,108931228.42,Medium-term,low,Under 2 year
Susan Moreno,40,69000000.0,205919806.55,Short-term,medium,Under 6 year
Robert Atkins,20,102000000.0,190957299.24,Short-term,medium,Under 0 year
Bonnie Campbell,51,31000000.0,61591780.49,Long-term,high,Under 6 year
Paul Johnson,26,86000000.0,213293742.03,Medium-term,low,Under 0 year
Eric Holloway,42,108000000.0,213678709.15,Short-term,low,Under 1 year
Anna Williams,65,142000000.0,271912946.19,Medium-term,medium,Under 5 year
David Peters,32,29000000.0,53310539.63,Medium-term,medium,Under 0 year
Brett Johnson,56,3000000.0,5709955.01,Long-term,low,Under 0 year
Justin Martin,56,8000000.0,16937238.0,Medium-term,medium,Under 9 year
James Burke,57,145000000.0,315753632.87,Long-term,low,Under 9 year
Katherine Robinson,24,135000000.0,312748115.5,Short-term,high,Under 6 year
Brett Carpenter,40,4000000.0,8464380.58,Medium-term,medium,Under 1 year
Noah Rogers,35,135000000.0,285677897.47,Long-term,low,Under 1 year
Gina Thomas,63,136000000.0,240918151.0,Medium-term,medium,Under 4 year
Jessica Jackson PhD,59,124000000.0,202120151.36,Medium-term,high,Under 9 year
Meghan Williams DVM,51,141000000.0,225652096.07,Short-term,medium,Under 2 year
Keith Williams,23,59000000.0,105032168.2,Short-term,high,Under 6 year
Brian Jackson,44,136000000.0,225894847.46,Short-term,high,Under 2 year
Deborah Forbes,63,145000000.0,241474499.23,Long-term,low,Under 7 year
Katherine Ray,33,49000000.0,90171515.32,Medium-term,low,Under 3 year
Joe Hutchinson,49,107000000.0,226823896.23,Long-term,medium,Under 3 year
Daniel Wolf,53,23000000.0,58283226.52,Short-term,medium,Under 9 year
Melanie Harmon,65,25000000.0,65525166.39,Short-term,low,Under 7 year
Anthony Smith,25,134000000.0,210330939.7,Medium-term,medium,Under 1 year
Anthony Nguyen,28,90000000.0,189973050.64,Medium-term,medium,Under 4 year
Richard Berry,46,143000000.0,221659320.53,Long-term,medium,Under 4 year
Rachel Brown,56,110000000.0,286527189.43,Short-term,low,Under 4 year
Stephanie Alvarado,36,140000000.0,290905412.47,Medium-term,high,Under 0 year
Amanda Love,63,60000000.0,154788627.51,Long-term,high,Under 7 year
Keith Shaw,25,148000000.0,368059176.36,Long-term,medium,Under 9 year
Kenneth Sharp,56,96000000.0,169743796.58,Short-term,medium,Under 2 year
Anthony Hurst,57,89000000.0,209164379.98,Medium-term,high,Under 9 year
Mary Smith,46,67000000.0,143630518.13,Short-term,medium,Under 3 year
William Williams,64,114000000.0,291665191.59,Short-term,medium,Under 5 year
Christine Bradley,58,149000000.0,328081397.04,Medium-term,high,Under 2 year
Laura Gomez,41,125000000.0,356798756.9,Long-term,medium,Under 4 year
Mary Smith,48,129000000.0,227845932.24,Long-term,medium,Under 4 year
Michael Jefferson,38,4000000.0,9161323.66,Short-term,medium,Under 9 year
Lisa Paul,51,106000000.0,246651413.8,Long-term,medium,Under 2 year
Kimberly Cooper,20,127000000.0,340390516.38,Long-term,low,Under 4 year
Brandon Moore,20,117000000.0,314571702.17,Medium-term,high,Under 9 year
Travis Davis,58,47000000.0,138901367.26,Long-term,high,Under 6 year
David Foster,50,135000000.0,214032201.95,Long-term,low,Under 2 year
David Silva,63,39000000.0,97439155.66,Short-term,low,Under 4 year
Lucas Larson,59,103000000.0,276197464.58,Short-term,low,Under 7 year
Timothy Ballard,52,104000000.0,236267085.13,Medium-term,high,Under 7 year
Mark Schmidt,38,41000000.0,108090760.98,Short-term,high,Under 7 year
Craig Frazier,56,85000000.0,186879911.91,Long-term,low,Under 0 year
Edwin Owens,26,117000000.0,325652650.61,Medium-term,low,Under 6 year
Makayla Stevens,51,25000000.0,48278976.84,Long-term,medium,Under 8 year
Linda Davidson,43,137000000.0,373673037.39,Medium-term,medium,Under 7 year
Whitney Miller,58,146000000.0,429949983.43,Long-term,low,Under 8 year
Julia Caldwell,52,44000000.0,99191460.49,Medium-term,medium,Under 1 year
Angela Oconnell,53,70000000.0,143626786.58,Medium-term,medium,Under 0 year
Andrea Bailey,55,53000000.0,158589314.47,Long-term,low,Under 4 year
Tina Garrison,31,75000000.0,129769576.1,Long-term,medium,Under 1 year
Lisa Morse,62,102000000.0,284808032.24,Short-term,high,Under 9 year
Dillon Nelson,22,56000000.0,134682831.33,Long-term,medium,Under 7 year
Michael Sampson,60,29000000.0,77222852.43,Short-term,low,Under 2 year
Thomas Diaz,50,144000000.0,354517897.86,Long-term,medium,Under 3 year
Jessica Williams,20,49000000.0,139175318.06,Medium-term,low,Under 0 year
Steven Miller,62,20000000.0,31797145.38,Long-term,medium,Under 1 year
Angela Peters,43,102000000.0,262011061.34,Long-term,high,Under 0 year
Jim Davis,57,2000000.0,5457919.37,Long-term,high,Under 2 year
Rebecca Blankenship,38,3000000.0,6026510.11,Short-term,medium,Under 6 year
Jody Foster,20,22000000.0,33238171.1,Long-term,medium,Under 1 year
Amber Chan,22,66000000.0,145503870.05,Long-term,high,Under 0 year
Elizabeth Lam,61,95000000.0,210346503.61,Medium-term,medium,Under 7 year
Monique Berger,27,83000000.0,136329783.79,Medium-term,low,Under 5 year
Debbie Hunter,26,50000000.0,134641719.75,Long-term,low,Under 0 year
Keith Lowery,35,116000000.0,207951546.94,Long-term,high,Under 9 year
Sharon Lawson,62,124000000.0,198385146.05,Short-term,low,Under 1 year
Ronald Williams,50,77000000.0,190572339.84,Short-term,medium,Under 6 year
Nichole Warren,31,140000000.0,270479812.12,Medium-term,high,Under 8 year
Catherine Bell,65,37000000.0,97815216.3,Medium-term,medium,Under 7 year
Martin Watkins,52,104000000.0,180955546.29,Short-term,low,Under 0 year
Steven Lee,32,67000000.0,160225692.03,Medium-term,high,Under 4 year
Nicole Wright,62,13000000.0,21683119.51,Short-term,medium,Under 1 year
Valerie Gonzales,36,133000000.0,295703539.71,Short-term,high,Under 0 year
Sarah Morrow,55,138000000.0,266345395.88,Short-term,medium,Under 4 year
James Thompson,18,129000000.0,326727053.75,Long-term,high,Under 7 year
Matthew Chung,64,68000000.0,167678195.46,Short-term,medium,Under 6 year
Michelle Ford,20,53000000.0,119017030.26,Short-term,low,Under 2 year
Christopher Solis,59,51000000.0,89718453.86,Long-term,high,Under 4 year
Kimberly Soto,65,77000000.0,127861108.02,Medium-term,medium,Under 1 year
Albert Alexander,29,149000000.0,439380076.24,Short-term,medium,Under 3 year
Heather Bennett,18,137000000.0,284294237.59,Medium-term,medium,Under 7 year
Tyler Pacheco,53,77000000.0,134873115.92,Medium-term,low,Under 7 year
Samuel Potter,56,8000000.0,23398979.11,Long-term,high,Under 4 year
Bailey Thomas,39,127000000.0,196393696.45,Long-term,high,Under 3 year
Kelly Cabrera,34,16000000.0,41722213.78,Short-term,low,Under 5 year
Susan Martinez,19,90000000.0,186890397.34,Medium-term,medium,Under 0 year
Lisa Maldonado,36,125000000.0,330742216.21,Long-term,medium,Under 3 year
Dawn Cox,48,43000000.0,78035222.45,Medium-term,low,Under 3 year
Martin Little,34,17000000.0,32337311.71,Medium-term,low,Under 9 year
Kimberly Gilbert,26,30000000.0,89240877.87,Short-term,low,Under 7 year
Daniel Ford,55,64000000.0,111940433.03,Long-term,low,Under 2 year
Erin Martin,20,35000000.0,73153843.81,Short-term,low,Under 2 year
Kristina Cooley,65,12000000.0,34464785.2,Short-term,high,Under 9 year
Nancy Owen,46,29000000.0,81114709.72,Long-term,medium,Under 3 year
Steven Foster,46,91000000.0,159680047.26,Short-term,medium,Under 7 year
Steven Foster,45,52000000.0,152792359.1,Medium-term,high,Under 8 year
Alicia Stone,54,94000000.0,234665586.3,Long-term,medium,Under 5 year
Robert Hayes,38,97000000.0,166654987.6,Long-term,medium,Under 9 year
Robin Parks,29,19000000.0,50180461.23,Short-term,medium,Under 8 year
Crystal Cobb,52,46000000.0,92746797.58,Medium-term,low,Under 0 year
Tyler Moon,47,119000000.0,232562986.51,Short-term,medium,Under 2 year
Edgar Peters,56,146000000.0,419518813.29,Long-term,medium,Under 0 year
Dakota Ward,47,115000000.0,277405242.7,Short-term,low,Under 4 year
Brett Scott,41,75000000.0,190539192.15,Short-term,high,Under 4 year
Blake Flores,19,55000000.0,134947824.31,Short-term,high,Under 7 year
Megan Osborne,23,42000000.0,66312674.16,Medium-term,low,Under 1 year
Derrick Moody,48,86000000.0,182613669.29,Medium-term,low,Under 9 year
Cheyenne Newton,29,128000000.0,351451638.15,Medium-term,low,Under 6 year
David Arnold,62,120000000.0,192055268.96,Medium-term,medium,Under 7 year
Nicole Lewis,22,97000000.0,274156955.17,Short-term,low,Under 2 year
Natalie Gonzalez,35,57000000.0,86388885.24,Short-term,medium,Under 7 year
Kayla Gould,40,13000000.0,27611631.51,Medium-term,high,Under 8 year
Melissa Krueger,26,74000000.0,162426659.58,Medium-term,low,Under 1 year
Jacob Garcia,55,75000000.0,177500355.58,Short-term,high,Under 3 year
Dakota Flores,54,61000000.0,112249841.41,Long-term,medium,Under 8 year
Christy Martinez,37,76000000.0,222974256.72,Long-term,high,Under 9 year
James Huerta,39,104000000.0,169178932.77,Long-term,high,Under 0 year
Joseph Knox,58,94000000.0,253849169.52,Long-term,high,Under 3 year
